Model,MAE,RMSE,R2,MAPE%,Bias
XGBoost,17.187150955200195,27.642402518453196,0.2980712056159973,12.036217595607344,-6.370935397677951
Prophet,17.96754540569571,28.974927643044076,0.22876595671372046,12.830850761665676,-2.8427730824485518
Random Forest,18.377347710626893,29.350728838259716,0.20863060295587255,12.93136910150549,-7.154000924493035
Baseline (7d MA),22.93015873015873,32.35717614490737,0.03820459547394017,17.17770506574243,-1.2857142857142858
Baseline (mean),24.043740902474525,33.03504879773433,-0.0025161480676103576,18.064067706211098,-1.6549975739932077
Baseline (last week),24.08888888888889,35.86920684932969,-0.181911663686406,17.223403843082917,-1.1777777777777778
